sender,type,content,date,timestamp
男,text,今日楽しかった！ありがとう！,2025/04/05,22:11
男,text,同い年ですごく話し合うし楽しい時間だった！😊,2025/04/05,22:12
女,text,こちらこそありがとう！ご飯代もありがとう〜！美味しかったね！,2025/04/05,23:31
男,text,思ったよりめちゃ美味しくてびっくりした笑,2025/04/05,23:46
男,text,次会うの、19日でどうかな？,2025/04/05,23:46
女,text,19日いいよ！,2025/04/05,23:46
男,text,やった！話してた水族館調べとくね！,2025/04/05,23:48
男,text,すみだ水族館でペンギンフェアやってそう！,2025/04/06,0:10
男,text,チケット取ってみた！,2025/04/06,0:11
女,text,返信遅くなってごめん！ありがとう！楽しみにしてるね！,2025/04/07,12:35
男,text,楽しみにしてる！！,2025/04/07,15:22
